periode_data,bulan,tanggal,stasiun,karbon_monoksida
202410,10,28,DKI5  Kebon Jeruk  Jakarta Barat,18
202410,10,29,DKI5  Kebon Jeruk  Jakarta Barat,19
202410,10,3,DKI5  Kebon Jeruk  Jakarta Barat,22
202410,10,30,DKI5  Kebon Jeruk  Jakarta Barat,20
202410,10,31,DKI5  Kebon Jeruk  Jakarta Barat,20
202410,10,4,DKI5  Kebon Jeruk  Jakarta Barat,22
202410,10,5,DKI5  Kebon Jeruk  Jakarta Barat,21
202410,10,6,DKI5  Kebon Jeruk  Jakarta Barat,21
202410,10,7,DKI5  Kebon Jeruk  Jakarta Barat,27
202410,10,8,DKI5  Kebon Jeruk  Jakarta Barat,21
202410,10,9,DKI5  Kebon Jeruk  Jakarta Barat,20
202411,11,1,DKI5  Kebon Jeruk  Jakarta Barat,22
202411,11,10,DKI5  Kebon Jeruk  Jakarta Barat,23
202411,11,11,DKI5  Kebon Jeruk  Jakarta Barat,25
202411,11,12,DKI5  Kebon Jeruk  Jakarta Barat,24
202411,11,13,DKI5  Kebon Jeruk  Jakarta Barat,32
202411,11,14,DKI5  Kebon Jeruk  Jakarta Barat,24
202411,11,15,DKI5  Kebon Jeruk  Jakarta Barat,21
202411,11,16,DKI5  Kebon Jeruk  Jakarta Barat,19
202411,11,17,DKI5  Kebon Jeruk  Jakarta Barat,33
202411,11,18,DKI5  Kebon Jeruk  Jakarta Barat,17
202411,11,19,DKI5  Kebon Jeruk  Jakarta Barat,21
202411,11,2,DKI5  Kebon Jeruk  Jakarta Barat,22
202411,11,20,DKI5  Kebon Jeruk  Jakarta Barat,22
202411,11,21,DKI5  Kebon Jeruk  Jakarta Barat,20
202411,11,22,DKI5  Kebon Jeruk  Jakarta Barat,17
202411,11,23,DKI5  Kebon Jeruk  Jakarta Barat,18
202411,11,24,DKI5  Kebon Jeruk  Jakarta Barat,16
202411,11,25,DKI5  Kebon Jeruk  Jakarta Barat,19
202411,11,26,DKI5  Kebon Jeruk  Jakarta Barat,20
202411,11,27,DKI5  Kebon Jeruk  Jakarta Barat,19
202411,11,28,DKI5  Kebon Jeruk  Jakarta Barat,18
202411,11,29,DKI5  Kebon Jeruk  Jakarta Barat,17
202411,11,3,DKI5  Kebon Jeruk  Jakarta Barat,26
202411,11,30,DKI5  Kebon Jeruk  Jakarta Barat,15
202411,11,4,DKI5  Kebon Jeruk  Jakarta Barat,24
202411,11,5,DKI5  Kebon Jeruk  Jakarta Barat,21
202411,11,6,DKI5  Kebon Jeruk  Jakarta Barat,22
202411,11,7,DKI5  Kebon Jeruk  Jakarta Barat,23
202411,11,8,DKI5  Kebon Jeruk  Jakarta Barat,22
202411,11,9,DKI5  Kebon Jeruk  Jakarta Barat,21
202412,12,1,DKI5 Kebon Jeruk Jakarta Barat,15
202412,12,10,DKI5 Kebon Jeruk Jakarta Barat,21
202412,12,11,DKI5 Kebon Jeruk Jakarta Barat,15
202412,12,12,DKI5 Kebon Jeruk Jakarta Barat,15
202412,12,13,DKI5 Kebon Jeruk Jakarta Barat,15
202412,12,14,DKI5 Kebon Jeruk Jakarta Barat,15
202412,12,15,DKI5 Kebon Jeruk Jakarta Barat,16
202412,12,16,DKI5 Kebon Jeruk Jakarta Barat,16
202412,12,17,DKI5 Kebon Jeruk Jakarta Barat,16
202412,12,18,DKI5 Kebon Jeruk Jakarta Barat,15
202412,12,19,DKI5 Kebon Jeruk Jakarta Barat,4
202412,12,2,DKI5 Kebon Jeruk Jakarta Barat,15
202412,12,20,DKI5 Kebon Jeruk Jakarta Barat,7
202412,12,21,DKI5 Kebon Jeruk Jakarta Barat,6
202412,12,22,DKI5 Kebon Jeruk Jakarta Barat,7
202412,12,23,DKI5 Kebon Jeruk Jakarta Barat,8
202412,12,24,DKI5 Kebon Jeruk Jakarta Barat,11
202412,12,25,DKI5 Kebon Jeruk Jakarta Barat,7
202412,12,26,DKI5 Kebon Jeruk Jakarta Barat,10
202412,12,27,DKI5 Kebon Jeruk Jakarta Barat,9
202412,12,28,DKI5 Kebon Jeruk Jakarta Barat,6
202412,12,29,DKI5 Kebon Jeruk Jakarta Barat,8
202412,12,3,DKI5 Kebon Jeruk Jakarta Barat,14
202412,12,30,DKI5 Kebon Jeruk Jakarta Barat,5
202412,12,31,DKI5 Kebon Jeruk Jakarta Barat,3
202412,12,4,DKI5 Kebon Jeruk Jakarta Barat,15
202412,12,5,DKI5 Kebon Jeruk Jakarta Barat,15
202412,12,6,DKI5 Kebon Jeruk Jakarta Barat,16
202412,12,7,DKI5 Kebon Jeruk Jakarta Barat,41
202412,12,8,DKI5 Kebon Jeruk Jakarta Barat,24
202412,12,9,DKI5 Kebon Jeruk Jakarta Barat,19
202501,1,1,DKI5 Kebon Jeruk Jakarta Barat,6
202501,1,10,DKI5 Kebon Jeruk Jakarta Barat,13
202501,1,11,DKI5 Kebon Jeruk Jakarta Barat,6
202501,1,12,DKI5 Kebon Jeruk Jakarta Barat,5
202501,1,13,DKI5 Kebon Jeruk Jakarta Barat,5
202501,1,14,DKI5 Kebon Jeruk Jakarta Barat,5
202501,1,15,DKI5 Kebon Jeruk Jakarta Barat,6
202501,1,16,DKI5 Kebon Jeruk Jakarta Barat,5
202501,1,17,DKI5 Kebon Jeruk Jakarta Barat,4
202501,1,18,DKI5 Kebon Jeruk Jakarta Barat,3
202501,1,19,DKI5 Kebon Jeruk Jakarta Barat,3
202501,1,2,DKI5 Kebon Jeruk Jakarta Barat,4
202501,1,20,DKI5 Kebon Jeruk Jakarta Barat,3
202501,1,21,DKI5 Kebon Jeruk Jakarta Barat,12
202501,1,22,DKI5 Kebon Jeruk Jakarta Barat,10
202501,1,23,DKI5 Kebon Jeruk Jakarta Barat,7
202501,1,24,DKI5 Kebon Jeruk Jakarta Barat,13
202501,1,25,DKI5 Kebon Jeruk Jakarta Barat,10
202501,1,26,DKI5 Kebon Jeruk Jakarta Barat,8
202501,1,27,DKI5 Kebon Jeruk Jakarta Barat,3
202501,1,28,DKI5 Kebon Jeruk Jakarta Barat,3
202501,1,29,DKI5 Kebon Jeruk Jakarta Barat,6
202501,1,3,DKI5 Kebon Jeruk Jakarta Barat,8
202501,1,30,DKI5 Kebon Jeruk Jakarta Barat,4
202501,1,31,DKI5 Kebon Jeruk Jakarta Barat,7
202501,1,4,DKI5 Kebon Jeruk Jakarta Barat,4
202501,1,5,DKI5 Kebon Jeruk Jakarta Barat,4
202501,1,6,DKI5 Kebon Jeruk Jakarta Barat,8
202501,1,7,DKI5 Kebon Jeruk Jakarta Barat,4
202501,1,8,DKI5 Kebon Jeruk Jakarta Barat,4
202501,1,9,DKI5 Kebon Jeruk Jakarta Barat,6
202502,2,1,DKI5 Kebon Jeruk Jakarta Barat,5
202502,2,10,DKI5 Kebon Jeruk Jakarta Barat,7
202502,2,11,DKI5 Kebon Jeruk Jakarta Barat,7
202502,2,12,DKI5 Kebon Jeruk Jakarta Barat,9
202502,2,13,DKI5 Kebon Jeruk Jakarta Barat,10
202502,2,14,DKI5 Kebon Jeruk Jakarta Barat,5
202502,2,15,DKI5 Kebon Jeruk Jakarta Barat,4
202502,2,16,DKI5 Kebon Jeruk Jakarta Barat,7
202502,2,17,DKI5 Kebon Jeruk Jakarta Barat,11
202502,2,18,DKI5 Kebon Jeruk Jakarta Barat,15
202502,2,19,DKI5 Kebon Jeruk Jakarta Barat,18
202502,2,2,DKI5 Kebon Jeruk Jakarta Barat,5
202502,2,20,DKI5 Kebon Jeruk Jakarta Barat,8
202502,2,21,DKI5 Kebon Jeruk Jakarta Barat,N/A
202502,2,22,DKI5 Kebon Jeruk Jakarta Barat,7
202502,2,23,DKI5 Kebon Jeruk Jakarta Barat,13
202502,2,24,DKI5 Kebon Jeruk Jakarta Barat,11
202502,2,25,DKI5 Kebon Jeruk Jakarta Barat,13
202502,2,26,DKI5 Kebon Jeruk Jakarta Barat,10
202502,2,27,DKI5 Kebon Jeruk Jakarta Barat,21
202502,2,28,DKI5 Kebon Jeruk Jakarta Barat,9
202502,2,3,DKI5 Kebon Jeruk Jakarta Barat,5
202502,2,4,DKI5 Kebon Jeruk Jakarta Barat,10
202502,2,5,DKI5 Kebon Jeruk Jakarta Barat,5
